날짜,시간대별시간,업종명,목적지광역시도명,목적지시군구명,주문건수,시간대별시간(강서구),주문건수(강서구)
2020-05-12,13,카페/디저트,서울특별시,구로구,12,,
2020-05-12,13,카페/디저트,서울특별시,금천구,3,,
2020-05-12,13,카페/디저트,서울특별시,노원구,4,,
2020-05-12,13,카페/디저트,서울특별시,동작구,3,,
2020-05-12,13,카페/디저트,서울특별시,양천구,1,,
2020-05-12,13,카페/디저트,서울특별시,영등포구,1,,
2020-05-12,14,카페/디저트,서울특별시,관악구,5,,
2020-05-12,14,카페/디저트,서울특별시,구로구,5,,
2020-05-12,14,카페/디저트,서울특별시,금천구,2,,
2020-05-12,14,카페/디저트,서울특별시,노원구,3,,
2020-05-12,14,카페/디저트,서울특별시,도봉구,1,,
2020-05-12,14,카페/디저트,서울특별시,동작구,2,,
2020-05-12,14,카페/디저트,서울특별시,서대문구,2,,
2020-05-12,14,카페/디저트,서울특별시,양천구,1,,
2020-05-12,14,카페/디저트,서울특별시,중랑구,1,,
2020-05-12,15,카페/디저트,서울특별시,관악구,4,,
2020-05-12,15,카페/디저트,서울특별시,구로구,5,,
2020-05-12,15,카페/디저트,서울특별시,금천구,2,,
2020-05-12,15,카페/디저트,서울특별시,노원구,4,,
2020-05-12,15,카페/디저트,서울특별시,동작구,4,,
2020-05-12,15,카페/디저트,서울특별시,양천구,2,,
2020-05-12,16,카페/디저트,서울특별시,관악구,6,,
2020-05-12,16,카페/디저트,서울특별시,구로구,5,,
2020-05-12,16,카페/디저트,서울특별시,금천구,2,,
2020-05-12,16,카페/디저트,서울특별시,노원구,3,,
2020-05-12,16,카페/디저트,서울특별시,도봉구,1,,
2020-05-12,16,카페/디저트,서울특별시,동작구,3,,
2020-05-12,16,카페/디저트,서울특별시,서대문구,1,,
2020-05-12,16,카페/디저트,서울특별시,양천구,4,,
2020-05-12,16,카페/디저트,서울특별시,중랑구,1,,
2020-05-12,17,카페/디저트,서울특별시,관악구,8,,
2020-05-12,17,카페/디저트,서울특별시,구로구,3,,
2020-05-12,17,카페/디저트,서울특별시,금천구,2,,
2020-05-12,17,카페/디저트,서울특별시,노원구,3,,
2020-05-12,17,카페/디저트,서울특별시,동작구,2,,
2020-05-12,18,카페/디저트,서울특별시,관악구,9,,
2020-05-12,18,카페/디저트,서울특별시,구로구,9,,
2020-05-12,18,카페/디저트,서울특별시,도봉구,1,,
2020-05-12,18,카페/디저트,서울특별시,동작구,5,,
2020-05-12,18,카페/디저트,서울특별시,영등포구,1,,
2020-05-12,19,카페/디저트,서울특별시,관악구,18,,
2020-05-12,19,카페/디저트,서울특별시,구로구,10,,
