id,gender,age,breakfast,lunch,dinner,expend,frequency
1C13710202,1,64,0,0,0,3,3
1C13910301,2,64,0,0,0,3,3
1C13910302,1,67,0,0,0,3,3
1C13910401,2,50,0,0,0,3,3
1C13910402,1,54,0,0,0,3,3
1C13910403,2,24,1,0,0,3,3
1C14010101,2,46,0,0,0,3,3
1C14010102,1,50,0,0,0,3,3
1C14010201,2,42,0,0,0,3,3
1C14010202,1,43,0,0,0,3,3
1C14010301,2,66,0,0,0,3,3
1C14010302,1,69,0,0,0,3,3
1C14010401,2,63,0,0,0,,3
1C14010402,1,65,0,0,0,3,3
1C14010403,1,33,0,0,0,3,3
1C14010501,1,60,0,0,0,3,3
1C14010801,2,50,0,0,0,3,3
1C14010802,1,54,0,0,0,3,3
1C14010803,2,26,0,0,0,3,3
1C14010804,1,24,0,0,0,3,3
1C14110301,2,61,0,0,0,1,3
1C14110302,1,63,0,0,0,1,3
1C14110303,2,35,2,0,0,1,3
1C14110501,2,65,0,0,0,,
1C14110502,1,70,0,0,0,,
1C14110701,2,52,0,0,0,2,2
1C14110702,1,54,0,0,0,1,2
1C14110703,1,27,0,0,0,1,2
1C14110704,1,23,0,0,0,0,2
1C14210201,2,67,0,0,0,2,1
1C14210202,1,70,0,0,0,1,1
1C14310201,2,40,0,0,0,2,1
1C14310202,1,41,0,0,0,1,1
1C14410101,2,68,0,0,0,3,3
1C14410401,2,56,0,0,0,2,3
1C14410402,1,58,0,0,0,2,3
1C14410403,1,26,0,0,0,2,3
1C14510101,2,62,0,0,0,3,3
1C14510201,2,66,0,0,0,,1
1C14510301,2,65,0,0,0,3,3
1C14610101,2,55,0,0,0,3,3
1C14610102,1,58,0,0,0,3,3
1C14610103,2,26,0,1,0,3,3
1C14610301,2,43,0,1,0,3,3
1C14610302,1,46,0,0,0,3,3
1C14610401,2,54,0,0,0,3,3
1C14610402,1,55,0,0,0,3,3
1C14610403,1,26,2,1,0,3,3
1C14610404,1,24,0,1,0,3,3
1C14610501,2,53,0,0,0,3,3
1C14610502,1,57,0,0,0,3,3
1C14610503,1,26,0,0,0,3,3
1C14610504,2,23,0,2,0,3,3
1C14610601,2,54,0,0,0,3,3
1C14610602,1,55,0,0,0,3,3
1C14610603,1,23,0,0,0,3,3
1C14610801,2,65,0,0,0,3,3
1C14610802,1,67,0,0,0,3,3
1C14610901,2,66,0,0,0,3,3
1C14610902,1,67,0,0,0,3,3
1C14710201,2,56,0,0,0,3,3
1C14710202,1,59,0,0,0,3,3
1C14710203,1,30,0,1,0,3,3
1C14710204,2,28,1,2,0,3,3
1C14710601,2,50,0,0,0,3,3
1C14710602,1,54,0,0,0,3,3
1C14710603,1,26,0,1,0,3,3
1C14710701,2,49,0,0,0,3,3
1C14710702,1,51,0,0,0,3,3
1C14710703,2,22,0,0,0,3,3
1C14710801,2,53,0,0,0,3,3
1C14710802,1,57,0,0,0,3,3
