날짜,음식섭취등수값,음식명,음식섭취수,음식섭취비율,사용자연령값,시간
2020-01-10,11, 식빵,1,1.960784, [20-29],17
2020-01-11,11, 식빵,1,1.388889, [0-19],16
2020-01-11,11, 깨찰빵,1,1.818182, [0-19],22
2020-01-12,11, 옥수수빵,1,2, [20-29],10
2020-01-12,11, 우유식빵,1,2, [20-29],15
2020-01-13,11, 마늘빵,1,1.388889, [20-29],14
2020-01-14,11, 식빵,3,1.388889, [0-19],12
2020-01-15,11, 식빵,1,2.857143, [20-29],20
2020-01-15,11, 삼립호빵(단팥),2,1.503759, [0-19],13
2020-01-16,11, 모닝빵,2,1.324503, [0-19],11
2020-01-16,11, 슈크림빵,1,5.882353, [20-29],0
2020-01-17,11, 바게트빵,1,1.149425, [0-19],16
2020-01-19,11, 슈크림빵,1,8.333333, [0-19],0
2020-01-19,11, 삼립호빵(야채),1,2.380952, [20-29],15
2020-01-24,11, 찐빵(팥),1,3.125, [20-29],15
2020-01-26,11, 식빵,1,2.325581, [0-19],14
2020-01-29,11, 피자빵,1,4.347826, [0-19],21
2020-01-30,11, 팥빵,1,3.125, [0-19],21
2020-01-31,11, 아몬드크림치즈빵,1,4.347826, [20-29],14
2020-01-31,11, 옥수수식빵,1,4.166667, [0-19],8
2020-01-31,11, 인디안프라이빵,1,2.173913, [0-19],21
2020-01-02,12, 삼립호빵(단팥),2,1.801802, [0-19],15
2020-01-05,12, 찐빵(호빵),2,2.105263, [0-19],10
2020-01-05,12, 쫀득한 찹쌀떡먹은 참붕어빵,1,4.545455, [20-29],9
2020-01-07,12, 식빵,1,2.325581, [0-19],23
2020-01-08,12, 바게트빵,1,1.369863, [0-19],8
2020-01-08,12, 찐빵(호빵),1,1.639344, [0-19],9
2020-01-10,12, 붕어빵,2,1.242236, [0-19],15
2020-01-10,12, 식빵,2,1.315789, [0-19],17
2020-01-11,12, 깨찰빵,1,1.136364, [0-19],22
2020-01-12,12, 쏘세지빵,1,2.439024, [0-19],0
2020-01-12,12, 우유식빵,1,1.612903, [20-29],15
2020-01-16,12, 바나나빵,1,6.666667, [0-19],1
2020-01-16,12, 바나나빵,1,1.315789, [0-19],22
2020-01-16,12, 슈크림빵,1,3.225806, [20-29],0
2020-01-17,12, 바게트빵,2,1.904762, [0-19],10
2020-01-17,12, 식빵,2,1.980198, [0-19],15
2020-01-18,12, 식빵,2,1.652893, [0-19],10
2020-01-19,12, 모카빵,1,1.886792, [20-29],17
2020-01-20,12, 찐빵(팥),2,1.242236, [0-19],17
2020-01-23,12, 붕어빵,1,1.5625, [20-29],18
2020-01-24,12, 빵또아,1,1.724138, [0-19],22
2020-01-29,12, 붕어빵,2,2.150538, [0-19],15
2020-01-29,12, 식빵,1,7.142857, [20-29],6
2020-01-04,12, 삼립호빵(단팥),1,2.941176, [20-29],9
2020-01-09,12, 쏘세지빵,1,1.639344, [20-29],8
2020-01-09,12, 식빵,1,1.219512, [20-29],19
2020-01-07,12, 모닝빵,2,1.408451, [0-19],17
2020-01-08,12, 추억의 소시지빵,1,0.990099, [0-19],19
2020-01-10,12, 찐빵(채소),1,7.692308, [20-29],3
2020-01-10,12, 오징어먹물치즈미니식빵,1,2.272727, [20-29],14
2020-01-11,12, 옥수수식빵,1,1.388889, [0-19],16
2020-01-14,12, 식빵,2,2, [0-19],14
2020-01-19,12, 피자빵,1,8.333333, [0-19],0
2020-01-19,12, 쏘세지빵,1,2.380952, [20-29],15
2020-01-21,12, 모닝빵감자샌드위치,1,1.136364, [0-19],16
2020-01-21,12, 식빵,1,1.923077, [20-29],19
2020-01-22,12, 찐빵(단호박소),1,4.166667, [0-19],23
2020-01-27,12, 빵또아,1,5.555556, [0-19],22
2020-01-31,12, 삼립호빵(단팥),1,3.703704, [20-29],16
2020-01-01,13, 모닝빵,1,1.234568, [0-19],14
2020-01-01,13, 열두가지 곡물식빵,1,3.703704, [20-29],11
2020-01-02,13, 식빵,2,1.449275, [0-19],13
2020-01-09,13, 식빵,2,1.470588, [0-19],15
2020-01-05,13, 크림빵,2,1.754386, [0-19],16
2020-01-06,13, 호밀빵,1,1.111111, [0-19],8
2020-01-12,13, 식빵,2,1.351351, [0-19],11
2020-01-14,13, 식빵,2,1.30719, [0-19],10
2020-01-14,13, 담백하고 쫄깃한 뜯어먹는 식빵,3,1.421801, [0-19],11
2020-01-15,13, 빵또아,2,2.150538, [0-19],21
2020-01-16,13, 옥수수식빵,1,1.298701, [20-29],17
2020-01-18,13, 찐빵(호빵),1,3.225806, [20-29],16
2020-01-19,13, 식빵,1,4.347826, [20-29],11
2020-01-20,13, 슈크림빵,1,5.882353, [20-29],4
2020-01-21,13, 팥빵,1,4.761905, [20-29],17
2020-01-21,13, 순수한맛 순우유식빵,1,5, [0-19],7
2020-01-22,13, 식빵,2,0.869565, [0-19],12
2020-01-25,13, 마늘빵,1,3.846154, [20-29],21
2020-01-26,13, 식빵,1,2.439024, [0-19],9
2020-01-31,13, 식빵,2,2.040816, [0-19],10
2020-01-02,13, 초코소라빵,1,6.25, [20-29],9
2020-01-03,13, 천연효모 호두 호밀식빵,1,3.703704, [20-29],7
2020-01-04,13, 건빵,1,3.333333, [20-29],21
2020-01-09,13, 잼빵,1,1.219512, [20-29],19
2020-01-06,13, 사각피자빵,1,3.571429, [0-19],22
2020-01-07,13, 붕어빵,2,3.076923, [0-19],8
2020-01-10,13, 쫄깃한피자빵,1,1.010101, [0-19],15
2020-01-11,13, 식빵,1,3.703704, [20-29],8
2020-01-13,13, 식빵,1,3.846154, [20-29],16
2020-01-16,13, 삼립호빵(단팥),1,1.492537, [20-29],11
